No.,Trayek,Rute ,Lintasan,Operator,Jumlah 
1,APTB01,Bekasi - Pulogadung ,TERM PULOGADUNG - PERINTIS KEMERDEKAAN - CEMPAKA PUTIH - TOL DALAM KOTA -  TOL CIKAMPEK - KELUAR TOL BEKASI BARAT - CUT MUTIAH - TERM BEKASI,Perum PPD,7
2,APTB03,Poris Plawad - Tomang ,TERM PORIS PLAWAD (JL BENTENG BETAWI) - BATU CEPER - TANAH TINGGI (JL DAAN  MOGOT) - KEBUN BESAR - AMPERA - TERM KALIDERES - MASUK KOR 3 BUSWAY -  SHELTER BUSWAY PESAKIH - SUMUR BOR - RAWA BUAYA - JEMBATAN BARU -  DISPENDA SAMSAT BARAT - JEMBATAN GANTUNG - TAMAN KOTA - INDOSIAR -  JELAMBAR - MASUK KOR 9 BUSWAY - SHELTER BUSWAY GROGOL 2 - KELUAR KE JL S  PARMAN - PUTARAN TOMANG DEPAN MALL TAMAN ANGGREK ,Perum PPD,10
3,APTB04,Ciputat - Kota ,TERM KOTA - JL. LADA - ST.KOTA - HAYAM WURUK - JL. MAJAPAHIT - JL. MERDEKA  BARAT - JL. MH. THAMRIN - JL. SUDIRMAN - SISINGAMANGARAJA - JL. PANGLIMA  POLIM - JL. RADIO DALAM - JL. METRO PONDOK INDAH - JL. BULUS - PS. JUMAT -  CIPUTAT ,PT. BMP,15
4,APTB05,Cibinong - Grogol ,TERM GROGOL - JL S PARMAN - JL JEND GATOT SUBROTO - MT HARYONO - UKI - TOL  JAGORAWI - TERM CIBINONG ,PT. MB,13
5,APTB06,Bogor - Rawamangun ,TERM BARANANGSIANG - TOL JAGORAWI - UKI - JL MAYJEND SUTOYO - JL MAYJEND DI  PANJAITAN - JL AHMAD YANI - JL PEMUDA - JL PAUS - JL PEGAMBIRAN - TERM  RAWAMANGUN ,PT. SJML,10
6,APTB07,Bekasi - Tanah Abang ,TANAH ABANG - JATIBARU - JL KEBON SIRIH - JL MH THAMRIN - JL SUDIRMAN -  SEMANGGI - JL GATOT SUBROTO - JL MT HARYONO - CAWANG - TOL CIKAMPEK -  TERMINAL BEKASI PP ,PT. MB,20
7,APTB08,Bekasi - Bundaran HI ,TERM BEKASI - JL IR JUANDA - JL JOYOMARTONO - TOL CIKAMPEK - TOL DALAM KOTA -  JL GATOT SUBROTO - SEMANGGI - JL JEND SUDIRMAN - BUNDARAN H I,Perum PPD,8
8,APTB09,Bogor - Blok M ,TERM BARANANGSIANG - GERBANG TOL BOGOR - TOL JAGORAWI - JL.MAYJEN SUTOYO -  JL. MT HARYONO - JL. JEND. GATOT SUBROTO - SEMANGGI - JL.JEND. SUDIRMAN - JL.  SISINGAMANGARAJA - TERM BLOK M - JL. SULTAN HASANNUDIN - JL. TRUNOJOYO - JL.  SISINGAMANGARAJA - JL. JEND. SUDIRMAN - SEMANGGI - JL. JEND GATOT SUBROTO -  JL.LETJEN MT. HARYONO - JL. MAYJEN SUTOYO - JL. DI PANJAITAN - PUTAR BALIK DEPAN  WIKA - JL. MAYJEN SUTOYO - TOL JAGORAWI - GERBANG TOL BOGOR - TERM  BARANANGSIANG ,PT. SJML,10
9,APTB10,Cileungsi - Blok M ,CILEUNGSI - RY ALTERNATIF CIBUBUR - MASUK TOL CIBUBUR - TOL JAGORAWI - HALTE  CAWANG UKI - HALTE BNN - HALTE CAWANG CILIWUNG - HALTE CIKOKO - HALTE TEBET  BKPM - HALTE PANCORAN - TUGU - HALTE PANCORAN BARAT - HALTE TEGAL PARANG -  HALTE KUNINGAN BARAT - HALTE JAMSOSTEK - HALTE LIPI - HALTE GELORA BUNG  KARNO - HALTE BUNDARAN ENAYAN - HALTE MASJID AGUNG - TERM BLOK M ,PT. MB,10
10,APTB11,Bogor - Tanah Abang ,"BOGOR/CIAWI - TOL JAGORAWI - JL SUTOYO - JL MT HARYONO - JL GT SUBROTO -  SEMANGGI - JL JEND SUDIRMAN - JL MH THAMRIN - JL KBN SIRIH RY - JL FACHRUDDIN -  FLYOVER JATIBARU - JL KS TUBUN - JL KBN JATI - JL FACHRUDIN - FLYOVER CIDENG -  PUTARAN CIDENG BRT - JL CIDENG TMR - JL JATIBARU , KEMBALI JL JATIBARU - JL  KEBON SIRIH RY - JL MH THAMRIN - SUDIRMAN - SEMANGGI - JL GATOT SUBROTO - JL  MT HARYONO - JL DI PANJAITAN - PUTARAN DEPAN WIKA - JL SUTOYO - TOL JAGORAWI -  BOGOR / CIAWI ",PT. SJML,10
11,APTB12,Bogor - Tj. Priok ,BOGOR/CIAWI - TOL JAGORAWI - JL. MAYJEN SUTOYO - JL MAYJEN DI PANJAITAN - JL  JEND A. YANI - JL. LAKSAMANA YOS SUDARSO - JL. ENGGANO - TERM TANJUNG PRIOK,PT. Hiba,10
12,APTB13,Pulogadung - Tangerang ,PULOGADUNG - JL. PERINTIS KEMERDEKAAN - Jl. JENDERAL A. YANI - JL. MAYJEN DI  PANJAITAN - JL. MAYJEN SUTOYO - JL. LETJEN MT. HARYONO - JL. JENDERAL GATOT  SUBROTO - JL. LETJEN S. PARMAN - TOMANG - TOL JAKARTA MERAK - TOL KARAWACI -  JL . IMAM BONJOL - JL. TEUKU UMAR - JL. JENDERAL SUDIRMAN - JL. BENTENG BETAWI -  TERMINAL PORIS PLAWAD (PP) ,PT. MB,10
13,APTB14,Cikarang - Kalideres ,TERMINAL CIKARANG - JL. FATAHILLAH - JL. IMAM BONJOL - JL. TEUKU UMAR - JL.  ARTERI TOL CIBITUNG - GERBANG TOL CIBITUNG - TOL CIKAMPEK - GERBANG TOL  HALIM - CAWANG - JL. LETJEN MT HARYONO - JL. JEND GATOT SUBROTO - JL. LETJEN S.  PARMAN - JL. DAAN MOGOT - TERMINAL KALIDERES (PP) ,PT. MB,10
